class,feature,weight
ENG,bi_at,-2.269515141308039
ENG,bi_au,0.42261259510643034
ENG,bi_av,0.9195662018265411
ENG,bi_aw,-0.1103877487471759
ENG,bi_ax,1.0404780339854247
ENG,bi_ay,0.5601624418930662
ENG,bi_az,0.4266992656938062
ENG,bi_b1,-0.030563175479719266
ENG,bi_ba,-0.1957409782058606
ENG,bi_bb,-0.39124342140509666
ENG,bi_bd,0.25739206415933097
ENG,bi_be,0.21681618893216414
ENG,bi_bf,0.7231187887430407
ENG,bi_bg,-0.2485692784086144
ENG,bi_bh,-0.007980521152832203
ENG,bi_bi,-0.11062958638192964
ENG,bi_bj,-0.14983373970984254
ENG,bi_bk,-0.3685332821271214
ENG,bi_bl,0.14855022594721973
ENG,bi_bm,-0.5257377929700993
ENG,bi_bn,0.3615006883729914
ENG,bi_bo,0.38350084173146626
ENG,bi_bp,0.24498291882414322
ENG,bi_br,-0.2942934021633381
ENG,bi_bs,0.734570829785758
ENG,bi_bt,0.7083088922609633
ENG,bi_bu,-0.5556587591191561
ENG,bi_bv,0.07950992704528903
ENG,bi_bw,-0.11820176248295473
ENG,bi_by,0.3144682849286646
ENG,bi_c',-0.2521332600603307
ENG,bi_c0,-0.024394559430254894
ENG,bi_ca,1.0595213524073102
ENG,bi_cb,0.1406764446888508
ENG,bi_cc,-0.028822123389904794
ENG,bi_cd,0.22648369300938234
ENG,bi_ce,1.1008207323091477
ENG,bi_cf,0.022522983811771067
ENG,bi_cg,-0.40208680342297926
ENG,bi_ch,0.47548265862953026
ENG,bi_ci,-0.05950306002474841
ENG,bi_ck,0.4984908652377642
ENG,bi_cl,0.7831464001657136
ENG,bi_cm,0.060158198303753956
ENG,bi_cn,-0.7212729561061516
ENG,bi_co,0.5007717274624641
ENG,bi_cp,-0.9354006299087368
ENG,bi_cq,0.6226076038828983
ENG,bi_cr,0.6159230063013426
ENG,bi_cs,0.3088632192156684
ENG,bi_ct,0.4785131969851533
ENG,bi_cu,-0.032272327443437214
ENG,bi_cv,0.12470101690108684
ENG,bi_cw,0.44576922309631256
ENG,bi_cy,-0.3779099354721937
ENG,bi_cz,0.21687110559539508
ENG,bi_d&,-0.1217401387707166
ENG,bi_d',-0.0014721430644526771
ENG,bi_d-,0.23536037236541588
ENG,bi_d1,-0.07908412203777754
ENG,bi_d2,-0.0791098444058671
ENG,bi_da,-0.4833396828575881
ENG,bi_db,0.33815422897943304
ENG,bi_dc,-0.22740673709202014
ENG,bi_dd,0.278426783474481
ENG,bi_de,-0.5090172004446993
ENG,bi_dg,0.4278462952478549
ENG,bi_dh,-0.12088755198854097
ENG,bi_di,-0.3949271196675983
ENG,bi_dj,-0.5848534060079258
ENG,bi_dk,0.44146838450846526
ENG,bi_dl,0.7848248323020781
ENG,bi_dm,0.06371668194709396
ENG,bi_dn,-0.32285587317437364
ENG,bi_do,0.0835107105172692
ENG,bi_dp,-0.04019583234822177
ENG,bi_dr,0.8691675884073728
ENG,bi_ds,-0.08388235781168576
ENG,bi_dt,-0.37141928547373343
ENG,bi_du,-0.6706404320293816
ENG,bi_dv,0.2272194615475706
ENG,bi_dw,-0.5551426376095071
ENG,bi_dy,-0.6352384616793033
ENG,bi_dz,-0.18334586111616935
ENG,bi_e',1.105481230814819
ENG,bi_e-,-0.05220086832043548
ENG,bi_e_,-0.01878021195917534
ENG,bi_ea,1.2483660228608207
ENG,bi_eb,-0.6603239832118687
ENG,bi_ec,0.23749073111990868
ENG,bi_ed,-0.33868146369487634
ENG,bi_ee,0.04221360250367441
ENG,bi_ef,0.447802615054901
ENG,bi_eg,0.3698425852726941
ENG,bi_eh,-1.2643644058103354
ENG,bi_ei,-0.5592001513648538
ENG,bi_ej,-0.19853302436236506
ENG,bi_ek,-1.2412720485255284
ENG,bi_el,-0.4728682773196953
ENG,bi_em,-0.48092649580329394
ENG,bi_en,-0.5915487134034793
ENG,bi_eo,-0.2734376164440434
ENG,bi_ep,0.4977636096307995
ENG,bi_eq,0.3325998706080923
ENG,bi_er,0.5343646931203301
ENG,bi_es,-0.5866204918293272
ENG,bi_et,-0.16720273654528806
ENG,bi_eu,0.08236158777011007
ENG,bi_ev,0.17238068921471733
ENG,bi_ew,-0.31059433805493525
ENG,bi_ex,0.09458605651304347
ENG,bi_ey,-0.6907501950705645
ENG,bi_ez,-1.1978255746069262
ENG,bi_f-,0.10113849859466563
ENG,bi_f2,0.6858597292060347
ENG,bi_fa,1.4202227296152754
ENG,bi_fb,1.223867079851739
ENG,bi_fe,0.9556839458121474
ENG,bi_ff,0.22718260241007482
ENG,bi_fi,1.0805082527958716
ENG,bi_fl,0.3461418341133647
ENG,bi_fn,-0.18432805795760102
ENG,bi_fo,0.7786550050553566
ENG,bi_fp,0.5517310078637673
ENG,bi_fr,0.4914679903960029
ENG,bi_fs,0.023314951001875563
ENG,bi_ft,0.25639780814624674
ENG,bi_fu,0.6266042700350453
ENG,bi_fw,0.06237120610561219
ENG,bi_fy,-0.4987313313241163
ENG,bi_g-,-0.3188917910577733
ENG,bi_g1,-0.019329073894045416
ENG,bi_g2,-0.0008264656153304498
ENG,bi_ga,-0.41790240249942784
ENG,bi_gb,-0.30192340645422766
ENG,bi_gc,0.5027398152397305
ENG,bi_gd,-1.2334715274802461
ENG,bi_ge,0.9516751557899855
ENG,bi_gg,-0.23815590000967746
ENG,bi_gh,-0.10927747472381692
ENG,bi_gi,-0.25022215939628156
ENG,bi_gj,-0.004478930200910015
ENG,bi_gk,-0.517112892329696
ENG,bi_gl,0.3203441563328625
ENG,bi_gm,0.2742466196977794
ENG,bi_gn,0.1673285441762607
ENG,bi_go,0.09120493023704446
ENG,bi_gp,-0.5721967564690905
ENG,bi_gr,-0.0254082997155887
ENG,bi_gs,0.7540165328754747
ENG,bi_gt,-0.2670715792239977
ENG,bi_gu,0.11187516461261714
ENG,bi_gv,0.7629422604978803
ENG,bi_gw,0.16513507139520098
ENG,bi_gy,0.1396427115925629
ENG,bi_gz,-0.4578616962593216
ENG,bi_h-,0.40534002489125875
ENG,bi_ha,-0.5742308131567297
ENG,bi_hb,-0.48040023272866966
ENG,bi_hc,-0.9103873795824251
ENG,bi_hd,0.45804617953895976
ENG,bi_he,0.326786841656579
ENG,bi_hh,-0.6644010185615864
ENG,bi_hi,-0.56882414414677
ENG,bi_hj,-0.011772025064118721
ENG,bi_hl,-0.19453672945540673
ENG,bi_hm,0.2943662330363751
ENG,bi_hn,-0.6939671117520909
ENG,bi_ho,0.5719202298513468
ENG,bi_hp,-0.17241470936074618
ENG,bi_hr,-0.12749737805635522
ENG,bi_hs,0.22705089856314126
ENG,bi_ht,-0.053061819420456284
ENG,bi_hu,-0.7215415419213395
ENG,bi_hw,-0.09474563754807155
ENG,bi_hy,0.14915377887197714
ENG,bi_hz,-0.36442663449884827
ENG,bi_i',1.6780818890239286
ENG,bi_i-,-0.4266895826158979
ENG,bi_ia,0.589504075400291
ENG,bi_ib,-0.2828640512327225
ENG,bi_ic,1.486919963771663
ENG,bi_id,1.014813524972349
ENG,bi_ie,0.7817975896283159
ENG,bi_if,1.1831805497197638
ENG,bi_ig,0.6522579427247178
ENG,bi_ih,-0.27232541249552283
ENG,bi_ii,-0.08086729407480248
ENG,bi_ij,0.9927459728308525
ENG,bi_ik,-0.16921182875337187
ENG,bi_il,0.28485041330113714
ENG,bi_im,-0.16317260245683035
ENG,bi_in,0.6881426622663221
ENG,bi_io,0.8078585903579393
ENG,bi_ip,0.6466883725881419
ENG,bi_iq,0.22823543932812834
ENG,bi_ir,1.2361188845785542
ENG,bi_is,0.557118923226429
ENG,bi_it,0.9237290198537461
ENG,bi_iu,0.4743859365279373
ENG,bi_iv,1.0237153358097537
ENG,bi_iw,-0.1574995239418956
ENG,bi_ix,-0.2957576986019947
ENG,bi_iy,-0.7769773869657532
ENG,bi_iz,-0.8232512890352993
ENG,bi_ja,-0.5740553402900153
ENG,bi_jc,-0.3615266289939366
ENG,bi_jd,-0.4396841839258155
ENG,bi_je,-0.6271556767511262
ENG,bi_jh,-0.42442381605983415
ENG,bi_ji,-0.5800434821591601
ENG,bi_jj,-0.11686231844070188
ENG,bi_jm,-0.3809593550107358
ENG,bi_jn,0.0
ENG,bi_jo,-1.0809057066839967
ENG,bi_jp,-0.8318236988720074
ENG,bi_jr,0.44018969135356983
ENG,bi_js,0.11197856576623506
ENG,bi_ju,-0.4500986477518318
ENG,bi_jv,0.0
ENG,bi_jw,0.44576922309631256
ENG,bi_jx,-0.06094663610164711
ENG,bi_k+,-0.009489500636202746
ENG,bi_k-,1.021741435276299
ENG,bi_k1,-0.051270576171795215
ENG,bi_ka,-1.1970558350627194
ENG,bi_kb,0.07885483928030612
ENG,bi_kc,-1.741532760670261
ENG,bi_kd,-0.02211933869158336
ENG,bi_ke,0.7527887854869906
ENG,bi_kf,0.011050010502313988
ENG,bi_kg,0.02231899353316552
ENG,bi_kh,-1.4402374657887278
ENG,bi_ki,-0.6822297361064328
ENG,bi_kj,-0.015679297012802736
ENG,bi_kk,-0.8198357303653272
ENG,bi_kl,-0.5545647194335696
ENG,bi_km,-0.18290097848423578
ENG,bi_kn,-0.2813997370758283
ENG,bi_ko,-0.836040647521853
ENG,bi_kp,-0.4621251320718312
ENG,bi_kr,-1.0069542017197086
ENG,bi_ks,-1.0348336488696368
ENG,bi_kt,-0.9781441874747292
ENG,bi_ku,-0.8677480658614298
ENG,bi_kv,0.0
ENG,bi_kw,-0.6819400839224996
ENG,bi_ky,-0.9087150653577701
ENG,bi_l-,0.034464647553531465
ENG,bi_la,-0.3749466320396624
ENG,bi_lb,-0.07850239459457187
ENG,bi_lc,0.4849115779092243
ENG,bi_ld,0.6048530594947233
ENG,bi_le,0.7051851385363027
ENG,bi_lf,0.7072467863646007
ENG,bi_lg,-0.4129285366671979
ENG,bi_lh,-1.1001715155853602
ENG,bi_li,-0.2274031277100325
ENG,bi_lj,-0.3267628498270978
ENG,bi_lk,-0.01085772143277591
ENG,bi_ll,0.5638435203747816
ENG,bi_lm,-0.26105838573674955
ENG,bi_ln,-1.006608804459207
ENG,bi_lo,-0.09292614450222245
ENG,bi_lp,0.041481710869778705
ENG,bi_lr,0.5800446686272733
ENG,bi_ls,0.5644076297367446
ENG,bi_lt,0.3923685868064469
ENG,bi_lu,-0.7188771200614406
ENG,bi_lv,-0.5529532878209722
ENG,bi_lw,0.07874237426953846
ENG,bi_ly,-0.3174841410715664
ENG,bi_m-,0.007030537602200898
ENG,bi_m2,-0.046612422679113766
ENG,bi_m4,-0.024394559430254894
ENG,bi_ma,0.15623629395111793
ENG,bi_mb,-0.45840454391422136
ENG,bi_mc,-0.32045891158325035
ENG,bi_md,-0.004604670133569996
ENG,bi_me,1.092123345337387
ENG,bi_mf,0.0021052195473744936
ENG,bi_mg,-1.2068017951748744
ENG,bi_mh,-0.03160556258032253
ENG,bi_mi,-0.43866209473654016
ENG,bi_mj,-0.3615266289939366
ENG,bi_mk,-0.2547701586061333
ENG,bi_ml,0.34478619425414325
ENG,bi_mm,-0.867748227435365
ENG,bi_mn,-0.2994478052940993
ENG,bi_mo,-0.06985459003022929
ENG,bi_mp,0.6124233861679554
ENG,bi_mr,1.147932160921746
ENG,bi_ms,1.3911076543470662
ENG,bi_mt,-0.30981988159422585
ENG,bi_mu,-0.13476954101775407
ENG,bi_mv,0.1400173737235096
ENG,bi_mw,0.038610069929792205
ENG,bi_mx,-0.05799574212851758
ENG,bi_my,0.5632183249235753
ENG,bi_n&,-0.1355754538784466
ENG,bi_n',0.14768257339646157
ENG,bi_n-,0.011829711628334955
ENG,bi_na,-1.009200066311912
ENG,bi_nb,0.23937789603958187
ENG,bi_nc,0.21272416097671423
ENG,bi_nd,0.01561973085021957
ENG,bi_ne,0.5117607164416232
ENG,bi_nf,-0.1825504022886604
ENG,bi_ng,-1.3661732812845924
ENG,bi_nh,-0.24956619264673022
ENG,bi_ni,-0.3956326897999042
ENG,bi_nj,-0.43477938496041085
ENG,bi_nk,0.6119187123147768
ENG,bi_nl,-0.0003095172173302532
ENG,bi_nm,-0.7401381092750691
ENG,bi_nn,-0.2844899908300139
ENG,bi_no,0.13320391312001795
ENG,bi_np,-0.6273060239795359
ENG,bi_nr,-0.05926733808394773
ENG,bi_ns,-0.5728001710373111
ENG,bi_nt,0.10033508531361945
ENG,bi_nu,0.01953241999717812
ENG,bi_nv,-0.2390135069307568
ENG,bi_nw,0.03630720835023031
ENG,bi_ny,-0.5926716715207768
ENG,bi_nz,-0.4639485328843077
ENG,bi_o',-0.06220004076331818
ENG,bi_o-,0.6490829033529982
ENG,bi_o0,-0.0008467844858969
ENG,bi_o1,-0.002441238232754409
ENG,bi_oa,1.254221194787998
ENG,bi_ob,-0.1524930691455925
ENG,bi_oc,0.8515010094367392
ENG,bi_od,0.9608857446761796
ENG,bi_oe,0.07400970042803184
ENG,bi_of,0.9430306204238188
ENG,bi_og,0.16609122955504782
ENG,bi_oh,-0.07500078154829361
ENG,bi_oi,0.9787134252122514
ENG,bi_oj,0.04961800804447912
ENG,bi_ok,1.4574613550118598
ENG,bi_ol,0.6871706923098769
ENG,bi_om,1.0088250588758867
ENG,bi_on,1.170267100992563
ENG,bi_oo,0.6750945246229656
ENG,bi_op,0.8698357393251095
ENG,bi_oq,-0.3703159168002951
ENG,bi_or,1.7114592635424926
ENG,bi_os,-0.5977989103211073
ENG,bi_ot,0.379882242733139
ENG,bi_ou,2.34783877876274
ENG,bi_ov,0.7515286750211023
ENG,bi_ow,1.0100734567116008
ENG,bi_ox,0.039968030945857526
ENG,bi_oy,-0.535766296963459
ENG,bi_oz,0.0
ENG,bi_p-,0.04595236077503973
ENG,bi_p0,-0.0619691239578704
ENG,bi_p1,-0.10786376359569899
ENG,bi_p2,-0.0629144728326547
ENG,bi_p3,-0.046612422679113766
ENG,bi_p4,-0.06710601851811844
ENG,bi_p5,-0.016408528074454153
ENG,bi_p6,-0.03872804073976724
ENG,bi_p7,-0.022682985407384237
ENG,bi_p8,-0.045265584101497607
ENG,bi_p9,-0.01346045117990652
ENG,bi_pa,-0.7769302386195386
ENG,bi_pb,-0.7281559785029081
ENG,bi_pc,-1.6149134747512734
ENG,bi_pd,0.14321847102295118
ENG,bi_pe,0.2625644633039761
ENG,bi_pf,-0.6535552528304348
ENG,bi_pg,-0.751599969806553
ENG,bi_ph,0.012843601512924695
ENG,bi_pi,-0.6375315553555616
ENG,bi_pj,0.2236524738236007
ENG,bi_pk,-0.1840203939022882
ENG,bi_pl,0.7582198490484313
ENG,bi_pm,0.47803288199689825
ENG,bi_pn,0.5646514128088265
ENG,bi_po,-0.008352219864141024
ENG,bi_pp,1.0434454969890106
ENG,bi_pr,0.0927433131749192
ENG,bi_ps,-0.8065129671124732
ENG,bi_pt,0.24057011037052167
ENG,bi_pu,-1.096462467708783
ENG,bi_pv,0.07823407837108004
ENG,bi_pw,-0.5108665613627824
ENG,bi_py,0.35295872420451385
ENG,bi_q&,1.061886624365378
ENG,bi_qc,0.0
ENG,bi_qo,-0.10715671029754527
ENG,bi_qt,-0.10335352262971463
ENG,bi_qu,1.1801298688719508
ENG,bi_r-,0.2026765332493309
ENG,bi_r0,-0.1293037380866446
ENG,bi_ra,-0.5195649595752996
ENG,bi_rb,-0.31627977929327344
ENG,bi_rc,0.07787686838723105
ENG,bi_rd,-0.08078496111148616
ENG,bi_re,0.6295351473631363
ENG,bi_rf,-0.47656603184045304
ENG,bi_rg,-0.3129726346695689
ENG,bi_rh,-0.3026512689268824
ENG,bi_ri,-0.5319491763213933
ENG,bi_rj,-0.06759734686659968
ENG,bi_rk,-0.4863374667166978
ENG,bi_rl,-0.5921286294145156
ENG,bi_rm,0.24827034777816873
ENG,bi_rn,-0.28421081544966725
ENG,bi_ro,0.07607536362762272
